id,venue_type,venue_post_title,venue_name,venue_address1,venue_city,venue_prov,venue_postal,venue_country,venue_phone,venue_website,venue_dna_neighbourhood,venue_dna_atmosphere,venue_dna_pricepoint,venue_categories,venue_dna_dresscode,venue_dna_excerpt,venue_dna_review,venue_dna_conversation,venue_dna_convenience,venue_dna_comfort
15,"Japanese, Sushi Bars",Sushi Couture,Sushi Couture,456 Bloor St. W,Toronto,ON,M5R,Canada,416.538.8618,,The Annex,"fun, relaxed",$25-$50,Japanese,stylish,"A step up from all the other cheap ""all you can eat"" sushi joints in Toronto, Sushi Couture impresses with their fresh sushi and omakase offerings to delight and tantalize Japanese food lovers' taste buds.","The AnnexÕ newest Japanese restaurant Sushi Couture, spearheaded by the husband and wife team, Chef Ken (former Head Chef of Japango) and his wife Helen has moved into the higher-end sushi space in order to differentiate itself. TheyÕve become a quiet hit amongst the foodie scene after opening their doors back in early September.

The dŽcor is definitely a step up from their numerous competitors in the area where theyÕve opted to set their space up with many booths to help make the experience feel a little more intimate.",1,1,1
16,"coffee & tea, chocolatiers & shops",SoMa Chocolate Bar,SoMa Chocolate Bar,55 Mill St,Toronto,ON,M5A3C4,Canada,416.815.7662,http://somachocolate.com,Distillery District,"fun, relaxed",$10-$25,Dessert,casual,"A perfect place to take your date for a sweet dessert, while inhaling in the decadently dizzying aroma of cocoa beans roasting. ","There's no sweeter place than a chocolate factory. SoMa is one of the city's premier chocolate makers, creating fine artisan chocolates in delicate little batches right from the heart of the Distillery District, using organic ingredients.

This is a place for those who truly worship chocolate. Upon entering this quaint little shop, you will see a couple of tables and chairs set up, an area serving fresh-made gelato, a drinks station and counters full of yummy chocolate products from bars to nuts to cookies.

What's special about SoMa is visitors can see the whole magical process of how their chocolate is made through their kitchen, which is visible to all. There's nothing really fancy about this simple space but don't let the decor fool you from having a sweet date here.

SoMa serves one of the best cups of chocolates in the city, according to several prolific city blogs and magazines. This is the perfect place to take your date for a sweet dessert, while inhaling in the decadently dizzying aroma of cocoa beans roasting.",1,1,0
17,seafood,Pure Spirits Oyster House,Pure Spirits Oyster House,55 Mill St,Toronto,ON,M5A3C4,Canada,416.361.5859,http://purespirits.ca,Distillery District,"romantic, relaxed",$50+,Seafood,"stylish, formal","Fresh Oysters have long been considered aphrodisiacs, and this romantic and cozy restaurant will surely help put you in the right mood. ","Some say, fresh Oysters are consider an aphrodisiac, so for those looking to slurp back a couple of these raw sea delicacies, Pure Spirits Oyster House is the place.

One of the city's most popular oyster and fresh seafood restaurants, Pure Spirits is a beautiful, warm and cozy spot, full of history and fine food.

The historic building where the eatery resides is long and narrow with soft-lighting, set with cozy and private booths for two, and small tables comfortable for smaller groups.

There is also an expansive 28-seat bar at the front, where all the entertaining Oyster-shucking action happens, so ask to be seated at the bar if you want a front row seat to watch this.

If you're a newbie to this delicacy, the staff will gladly guide you through this experience and recommend the right oyster for you (there are many kinds), so you will not be too overwhelmed. The restaurant is constantly packed, so reservations are highly recommended at all times.

Pure Spirits also holds the title of one of the city's best outdoor patios.",1,1,1
18,local flavor,Discovery the Distillery District,Discover the Distillery District,55 Mill St,Toronto,ON,M5A3C4,Canada,416.364.1177,http://thedistillerydistrict.com,Distillery District,"romantic, relaxed",,,"casual, stylish","A beautiful historic area, with brick-lined streets and restored Victorian-era buildings , closed off from outside traffic, containing some of the city's best restaurants, bars, and cafes.  ","Upon entering through the gates and onto the brick-lined streets, Toronto's revitalized Distillery Historic District can transport you into a romantic area surrounded by some of the city's best restaurants, bars, and cafes. The establishments are all set inside restored Victorian-era buildings, in a closed-off area from the busy city streets downtown.

It is also a great place to take a stroll, just window shopping or peeking into the district's many artsy shops and boutiques. There are art galleries, live theatre house, jewelry stores and home decor stores, as well as common areas outside along the store fronts for you to sit and have a conversation with your date while sipping on a decadent hot chocolate from SOMA Chocolatiers.

The area is very popular with tourists, completely closed off to traffic, but even the steady stream of visitors won't have you feeling much distraction. Also a beautiful spot in the evening for a quiet walk and stargazing on a clear night.",1,1,1
19,french,Table 17,Table 17,782 Queen St. E,Toronto,ON,M4M1H4,Canada,416.519.1851,http://table17.ca,Riverside,"romantic, relaxed",$25-$50,French,"stylish, formal","The perfect spot for those looking for a quiet and intimate eatery, serving up local fare with a European twist. ","This quaint and casual bar and bistro is a favourite with the Riverside/Leslieville communities, serving fresh seasonal Canadian, locally grown and organic dishes, with a European influence. They also have a great wine selection, and offer up an amazing charcuterie plate.

This is the perfect spot for those looking for a quiet and intimate eatery in the East end to enjoy a great meal. The interior is complimented by soft lighting, comfortable seating and well spaced out tables to ensure privacy yet the huge glass window at the front of the restaurant allows for people watching along Queen Street East as you dine.

They also offer private dining options.",1,1,1
20,coffee & tea,Rooster Coffee House,Rooster Coffee House,479 Broadview Ave,Toronto,ON,M4K2N4,Canada,416.995.1530,http://roostercoffeehouse.com,Riverdale,"romantic, relaxed",< $10,"coffee, tea, pastries","casual, stylish",The first thing youÕll notice about upon setting eyes on this coffee spot are the rows of chairs lined up like bleachers to take in the spectacular view that is Riverdale Park.,"Simply known as ÒThe RoosterÓ, the first thing youÕll notice about upon setting eyes on this coffee spot are the rows of chairs lined up like bleachers to take in the spectacle that is Riverdale Park.

Shawn, one of the co-owners of this place, whom I immediately recognized and vice versa as she used to be a Te Aro compatriot before opening The Rooster. A lot of thought has been put into the decor of this spot. From their comfy leather chairs that you can sink into while immersed in conversation to their communal table filled with board games to allow you the opportunity to kick each otherÕs asses in Scrabble. I couldnÕt describe a better coffee date spot than The Rooster.

Anyone whoÕs looking to check out awesome independent coffee spots across in the east end of Toronto should definitely check out The Rooster.",1,1,1
21,Japanese,Sushi Inn,Sushi Inn,120 Cumberland St,Toronto,ON,M5R1A6,Canada,416.923.9992,http://sushiinn.et,Yorkville,relaxed,$10-$25,Japanese,"casual, stylish",This Yorkville-based sushi restaurant has been a favourite with Torontonians for a decade now.,"This Yorkville-based sushi restaurant has been a favourite with Torontonians for a decade now. Friendly, quaint and unpretentious despite being situated next to all the high-end eateries and boutiques along Cumberland Avenue, Sushi Inn offers fresh, no-fuss sushi at an attractive price point.

Great spot if you're looking to just grab a causal meal with an ethnic touch. The restaurant is situated on multi-floors in a narrow building, with expansive windows looking out onto the street. The decor is low-key and not all that fancy, but still impresses with its friendly service and tasty dishes.",1,1,1
22,coffee & tea,Snakes and Lattes,Snakes and Lattes,600 Bloor St W,Toronto,ON,M6G1K4,Canada,647.342.9229,http://snakesandlattes.com,The Annex,"relaxed, fun, energetic",$10-$25,"coffee, snacks, beer",casual,This cleverly named cafŽ nixes the laptops and brings you into an environment where you're encourage to be act like a kid again with their vast collection of boardgames. ,"What do you get when you fuse a cafŽ with 1500 board games? Snakes and Lattes of course!

After opening up for a little under a week, the cleverly named cafŽ has become the media darling as of late embraced by the Toronto twitter and blogosphere after garnering a slew of rave reviews.

This is the brandchild of owners AurŽlia and Ben, who are originally from France. They spotted a business opportunity in the Toronto cafŽ scene after seeing the Òboard game cafŽÓ concept take off in South Korea and France but has yet to swoop in here.ItÕs a simple formula -- combining a cafŽ with board games (1500 and counting).

When you take into account that they donÕt exactly encourage the use of laptops or provide free wifi like many other cafŽs, you'll quickly understand why Torontonians are flocking to this haven of board games, fine coffee which is providing patrons with a nostalgic flashback of simpler times gone by.

You can ÒPlay all dayÓ for $5 per person or play for free with their featured board game of the day, while you sip on your latte or beer. They also serve freshly prepared French-influenced appetizers and finger foods.

Some of their recommended Òdate gamesÓ have been Gravitas , HedBanz , and Apples to Apples. If youÕre feeling a little bit more risquŽ and wanting to raise the stakes, they have games such as Adult Trivia and Dirty Minds to encourage some not as clean as a whistle fun if you catch our drift.

After talking to the baristas of the cafŽ, Giordano and Joe, they had remarked that despite being open for a short while, theyÕve witnessed the power of board games bringing people together, seeing spontaneous triple dates occur after a competitive game of Settlers of Catan had taken shape at the back of the cafŽ where their cushy couches are. ThatÕs the kind of fun you should expect upon stepping this innovative cafŽ and fantastic date spot.",,,
23,frenc,Sassafraz,Sassafraz,100 Cumberland St,Toronto,ON,M5R1A6,Canada,416.964.2222,http://sassafraz.ca,Yorkville,"relaxed, romantic",$50+,French,"stylish, formal",This iconic restaurant situated in a Victorian house in the heart of Yorkville offers French inspired Canadian cuisine in a romantic and classy setting. ,"This iconic restaurant situated in a Victorian house in the heart of Yorkville offers French inspired Canadian cuisine in a romantic and classy setting. It's yellow exterior is familiar with many who have strolled through the idillic Yorkville streets by Cumberland and Bellair. Once ruined by a fire, Sassafraz has emerged better than ever.

They offer a fantastic weekend brunch, lunch and dinner menu, along with an extensive cocktail menu for drinks after your meal at the adjoining S-Cafe Bar. There, they serve multiple shared dishes and cheese plates for those who simply want to stop by for a small nibble and a drink, while people watching (many celebrities have been spotted here).

Sassafraz is definitely for those with deep pockets, as one meal can really put a dent in your wallet. However, it's a great anniversary location which will surely impress your date.",1,1,1
24,art galleries,Free Wednesdays at the AGO,Free Wednesdays at the AGO,317 Dundas St. W,Toronto,ON,M5T1G4,Canada,416.977.0414,http://ago.net,Discovery District,"relaxed, romantic, discovery",0,,"stylish, formal","Soak in the art and culture at this Toronto landmark for free every Wednesday evenings from 6 p.m. to 8:30 p.m. 
","Visit the Art Gallery of Ontario for free every Wednesday evenings from 6 p.m. to 8:30 p.m.

This Toronto landmark holds more than 79,000 works in its collections spanning from 100 A.D. to the present. Make a date out of this fascinating gallery, where you and your partner can explore the wonderful art and soak in the culture.

The AGO is one of the largest art museums in North America, so you definitely will not be bored perusing through all the different sections hand in hand, and discovering the next great piece of art that's just around each corner.

The AGO is also home to Frank Restaurant for full service dining, as well as CafeAGO for casual dining and an Expresso Bar for light stacks during your visit.",1,1,1
25,comedy clubs,Toronto's Best Comedy Secret - Ghost Jail Theatre,Ghost Jail Theatre,693 Bloor St W,Toronto,ON,M5G1L5,Canada,,http://ghostjail.com,Koreatown,"relaxed, fun",< $10,,casual,"A bit divey, but that's a part of the charm.  It's part of Clinton's Tavern - a bar where you can have a drink right after the show. ","One of Toronto's best kept comedy secrets, Ghost Jail Theatre is in their third year running and have been creating laughs out of thin air with their improv magic.

Made up of a mix and mash of Toronto's finest comedic talent trained at top notch improv schools such as The Second City and Impatient Theatre Co., Ghost Jail Theatre is a motley crew of sorts that will make you laugh till you lose your shorts.

The venue in inside the Clinton Tavern, a somewhat divey bar with loads of character located in the Koreatown area of downtown Toronto. If you're looking for a quick budget date, with great entertainment and cheap booze, then this is the place for you.

Please Share on Facebook, Retweet or Stumble it if you liked this date idea :)",1,1,0
26,comedy clubs,Bad Dog Theatre Company,Bad Dog Theatre Company,138 Danforth Ave,Toronto,ON,M4K1N1,Canada,416.491.3115,http://baddogtheatre.com,Riverdale,"relaxed, fun",< $10,,casual,Bad Dog Theatre has been a mainstay in the improv and comedy scene for decades and is nestled right at the edge of the city's popular Greektown on the Danforth.,"Bad Dog Theatre Company Ð formerly known as ÒTheatreSports TorontoÓ has been a mainstay in the improv and comedy scene for decades and is nestled right at the edge of Greektown on the Danforth right by Broadview.

They have pumped out the likes of Toronto Second City alumnus Kerry Griffin, Rob Baker and Reid Janisse. A different show is presented each night, with Saturday being their main draw for their ÒTheatreSportsÓ show where teams battle it out for the most laughs. While the price they charge is nominal, theyÕre definitely big on laughs.

Being located in one of the city's most popular ethnic enclaves also serves as a great date spot, as there are tons of places for you and your date to go out and grab at drink at one of the many Greektown patios, and restaurants, many which are open until the wee hours of the night on weekends.",1,1,0
27,comedy clubs,Comedy Bar,Comedy Bar,945 Bloor St W,Toronto,ON,M6H1L5,Canada,647.898.5324,http://comedybar.ca,Ossington,relaxed fun,< $10,"pub, beer",casual,The Comedy Bar features a nice mix of traditional stand-up comedy and spontaneous improv comedy.,"The Comedy Bar Ð located in the west end of Toronto features a nice mix between traditional stand-up comedy and spontaneous improv comedy. This is home of some of the best improv troupes in Toronto, Big in Japan and the Sketchersons.

Tickets are reasonably priced at only $8. They offer basic pub-fare grubs such as wings and pizza and live entertainment every night, as well as a comfy lounge for drinks and relaxing.",1,0,1
28,comedy clubs,Absolute Comedy,Absolute Comedy,2335 Yonge St,Toronto,ON,M4P2C8,Canada,416.486.7700,http://absolutecomedy.com/tointro.html,Yonge/Eglinton,"relaxed, fun",$10-$25,"pub, snacks, beer",casual,Great for a casual date and those who are looking to laugh till their sides hurt at a great price point.,"This is one of the smaller comedy clubs in Toronto and is perfect for a cozier comedy experience. Absolute Comedy has a convenient location north of the intersection of Yonge & Eglinton, offering fantastic and reasonably priced pub grub and drink.

They offer special dinner and show packages for as low as $20, so for those looking for a all-in-one date on a budget with entertainment and eats, this is the place to go. Keep in mind reservations are required, since they need to organize your meal prior to the show.

They certainly don't skimp on the laughs and the comedic talent they attract, so expect a great show!",1,1,1
29,"breakfast & brunch, french",Bonjour Brioche Bakery CafŽ,Bonjour Brioche Bakery CafŽ,812 Queen St. E,Toronto,ON,M4M1H7,Canada,416.406.1250,bonjourbrioche.com,Leslieville,"relaxed, romantic",$10-$25,"brunch, bakery",casual,"An adorable little corner bakery cafe, serving up an amazing brunch, along with decadent croissants, pastries and baked goods.  ","Having been told many times that they make an awesome brunch and bake the best croissants in the city (in house), their almond, lemon and chocolate versions of the fluffy pastry is to die for.

Bonjour Brioche is quite small and very quiet, providing a great environment for intimate conversation and relaxing with the aroma of fresh baked-goods floating all around you. One reminder though - they only take cash as a form of payment  so be prepared but they do have an ATM located at the lower level of the restaurant.",1,1,1
30,"breakfast & brunch, American",School Bakery CafŽ,School Bakery CafŽ,70 Fraser Ave,Toronto,ON,M6K3E1,Canada,416.588.0005,www.sbcto.com,Liberty Village,"relaxed, fun",$10-$25,"brunch, bakery",casual,School Bakery & Cafe is one hotspot for weekend brunch so arrive early to avoid a long wait. ,"ocated on a quiet street in Liberty Village, School Bakery & Cafe is a hotspot for weekend brunch known by many Torontonians so arrive early to avoid a long wait but this may be inevitable, and they don't take brunch reservations. However, they do take reservations for dinner which is served Wednesday to Sunday 5 p.m. to 11 p.m.

ThereÕs a large patio out front and at the back, while the inside also includes a large seating area, with an open concept design. However, the tables are set pretty close to one another, and is often packed to the brim inside and out.

The wait-staff dress in cute school-like uniforms, and thereÕs school decor all around, hence the name. Portions are a bit on the tiny side, but the food is delicious and fresh. For a small nibble, try their fresh scones.

Service is questionable. Maybe the staff are rammed, but the food came fast, but you will have to wave your arms dramatically in order to flag down your server to get condiments or extra napkins, so best to ask for it all right when your meal arrives if they're not already on your table.  You may not see your server again until your ask for your check.",1,1,1
31,coffee & tea,Aroma Espresso Bar in the Annex,Aroma Espresso Bar,500 Bloor St W,Toronto,ON,M5S1Y3,Canada,416.536.7750,http://www.aroma.ca,Annex,relaxed,< $10,cafŽ,casual,"Aroma differentiates itself from its competitors by offering a plethora of cappuccinos, coffee options and a charming atmosphere.","Although there are now multiple Aroma Expresso Bar locations in Toronto, the cafe located on the northwest corner of Bloor and Albany in the Annex is truly still the one location which is totally date worthy.

With its expansive outdoor patio located along a shady side street, and comfy seating all around it's interior, Aroma differentiates itself from its competitors by offering a plethora of cappuccinos, coffee options and a charming atmosphere. They like to make things personal, by asking for your name with your order, which is a nice touch from the everyday rush.

Try one of their chocolate based drinks, such as the mocha or hot chocolate, which is made with real chocolate and delicious. Remember to give it a good stir to get all the chocolate off the bottom of get the full aromatic flavour of the drink.

Aroma is welcomed departure from the usual coffee chains located at every corner in the city.",1,1,
32,breakfast & brunch,Future Bakery and CafŽ,Future Bakery and CafŽ,438 Bloor St W,Toronto,ON,M5S1Y2,Canada,416.922.5875,futurebakery.com,Annex,relaxed,$10-$25,"Brunch, Bakery",Casual,"Known as an institution in the Annex is embraced by city and coveted by students for its generous portions.  It is also widely known for its borscht, perogies, brunch and sangria & drinks on their awesome patio.","Known as an institution in the Annex is embraced by city and coveted by students for its generous portions. It is also widely known for its borscht, perogies, brunch and sangria & drinks on their awesome patio. ÒFuturesÓ is definitely a great spot to soak up the Annex atmosphere while enjoying the company of your date or friends.",1,1,1
33,pubs,Pauper's Pub and Restaurant,Pauper's Pub and Restaurant,539 Bloor St. W,Toronto,ON,M5S1Y6,Canada,416.530.5331,www.pauperspub.com,Annex,"relaxed, fun, energetic",$10-$25,"pub, snacks, beer",casual,"There are no surprises at Pauper's Pub. ItÕs what you would expect of a traditional neighbourhood pub, providing a cozy dimly lit environment, great for casual conversations over a few pints of beer. ","There are no surprises at Pauper's Pub. ItÕs what you would expect of a traditional neighbourhood pub, providing a cozy dimly lit environment, great for casual conversations over a few pints of beer and some low-fuss  pub grub.

The best part of PauperÕs Pub is that they have a roomy side patio and even a rooftop patio to chill out and soak up the sun and city sounds during those warm and bustling summer months. The pub is conveniently located one block east of Bathurst and Bloor and the subway station in the Annex neighbourhood, where there are always lots of interesting people roaming the streets",1,1,1
34,"breakfast & brunch, mediterranean",By the Way CafŽ,By the Way CafŽ,400 Bloor St. W,Toronto,ON,M5S1X5,Canada,416.967.4295,www.bythewaycafe.com,Annex,"relaxed, romantic",$10-$25,"brunch, bakery, middle eastern",casual,"A great spot known for its brunches  and Middle Eastern fare, By the Way Cafe has been attracting crowds from all walks of life since the 1970s. ","A great spot known for its brunches  and Middle Eastern fare, By the Way Cafe has been attracting crowds from all walks of life since the 1970s and is is located right in the superbly vibrant neighbourhood of the Annex.

The cafe offers a relax environment and great food at a reasonable price point, along with a colorful mural painted all along it's main wall. They change their dinner specials nightly, so every visit will be filled with an expectation of something yummy and new.

If you prefer eating outside, the cafe includes a canopied patio for you to sit in the shade while people watching and enjoying a delicious meal.",1,1,1
35,American (New),O&B Canteen,O&B Canteen,330 King St. W,Toronto,ON,M5V3X2,Canada,647.288.4710,www.oliverbonacini.com,Entertainment District,relaxed,$10-$25,"brunch, lunch, american, bakery",casual,This new creation from Oliver and Bonacini Restaurants offers a hassle-free dining experience in the Entertainment District. Expect a delicious meal at an attractive price point. ,"One of Oliver & Bonacini Restaurants' newest openings, O&B Canteen is an open concept restaurant with towering ceilings and a focus on casual eats that attracts a diverse crowd from families, Bay streeters to theatre goers in the area.

Located at the brand new Bell Lightbox, the new home of TIFF, their mantra for their menu is simplicity at an attractive price point. Canteen is headed by former Auberge du Pommier Chef, Jason Bangerter.

Expect nothing less than fantastic and prompt service, and quality meals that won't disappoint.",1,1,1
36,"vegetarian, vegan",Fresh Restaurant: Annex Location,Fresh Restaurant,147 Spadina Ave,Toronto,ON,M5V2L7,Canada,416.599.4442,www.freshrestaurants.ca,Annex,"relaxed, discovery",$10-$25,"vegetarian, organic",casual,"A great spot for vegetarians cuisine, with multiple convenient locations around the city Fresh is a vegetarian's haven.","You won't find anything that would clog your arteries at Fresh Restaurant and Juice Bar. A casual spot for guilt free dining, known for their gourmet vegetarian dishes, frrom soups, tasty veggie bowls, healthy wraps, salads, gourmet veggie burgers and smoothies, Fresh is a vegetarian's haven.

For those who seek value, they also have a prix fixe offering. With locations across Toronto, it's clearly a sign their popularity and their presence is appreciated in the city, where a vast choice of good vegetarian fare if often lacking.

Want to up your veggie street cred? Challenge each other to a ""cleansing"" shot of wheat grass :)",1,1,1
37,"Japanese, Sushi Bars",Yuzu Sushi & Sake Bar,Yuzu Sushi & Sake Bar,236 Adelaide St. W,Toronto,ON,M5H1W7,Canada,416.205.9808,yuzutoronto.com,Entertainment District,"relaxed, romantic",$25-$50,"sushi, Japanese",stylish,"Great venue for an Japanese Omakase experience, heralded as one of the best in Toronto and providing a fantastic vibe for those looking for a foodie experience with romance. ","Yuzu has become one of the darlings of the hardcore Japanese cuisine enthusiasts and foodies in Toronto. From the same owners of Japango, Yuzu is located in the heart of the clubbing district and has all the hallmarks of a great restaurant to visit. The venue has amazing ambiance, great detail, attentive service and authentic approach to Japanese cuisine.

They have an extensive sake selection and the highlight of their menu is their Omakase offering - a menu that is personally crafted and chosen by the chef. The omakase is heralded as one of the best across Toronto, but comes at $70 - well worth the price if you're looking for a fantastic experience in a warm and romantic Japanese restaurant. They also offer an extensive la carte and bento boxes as well.

And a fun fact, incase you're wondering what a Yuzu is... it's the Japanese word for ""grapefruit""!",1,1,1
38,American (New),O.NOIR,O.NOIR,620 Church St,Toronto,ON,M4Y2G2,Canada,416.922.6647,www.onoir.com,Gay Village,discovery,$50+,American,stylish,"Create a memorable experience with your date at a restaurant where you're forced to rely on senses besides your sight to ""feel"" through your meal. ","O.NOIR, Toronto's first and only ""dining in the dark"" restaurant.  While a bit gimmicky, the concept is novel for people looking for a memorable experience.  While a bit disorienting at first, dining in the dark heightens your other senses.  You're forced to rely on your other senses and ""feel"" through your meal and your date.  You'll cherish the experience more because you're using your other senses to a greater degree and as such conversation is simply energized.

Definitely a fun and exciting experience, sharing in laughs and fumbling with your food - just try not to feed your date to avoiding poking their eye out ;)",1,1,1
39,Moroccan,Sultan's Tent & CafŽ Moroc,Sultan's Tent & CafŽ Moroc,49 Front Street E,Toronto,ON,M5E1B3,Canada,416.961.0601,www.thesultanstent.com,St. Lawrence Market,"relaxed, fun, energetic",$25-$50,Morrocan,stylish,"Sultan's Tent provides the the entire Moroccan cuisine and entertainment experience - complete with belly dancers and luxurious setting and decor.
","Sultan's Tent provides the the entire Moroccan culinary and entertainment experience - complete with belly dancers and luxurious setting and decor.  There's something seductive about the environment or maybe it's the sharing and experiencing exotic food and culture that's immersive.  You can choose to sit at traditional table, but the main draw of Sultan's Tent is not the food or even the belly dancers - it has to do with the abilities of dining within a plush tent with plenty of throw pillows, which definitely aids an air of intimacy, luxury and abundance.

They have a prix fixe menu starting at $40 for the adventurous and indecisive.  Currently they have their ""Moroclicious"" promotion with lunch and dinner prix fixe as well.  Be sure to make a reservation as the entertainment only occurs at set times. What's holding you back from trying out The Sultan's Tent?",1,1,1
